message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.938508])";"30";"turtlesim3.sim";"1727095880.138756055";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.924647])";"30";"turtlesim3.sim";"1727095880.123164546";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.910786])";"30";"turtlesim3.sim";"1727095880.105525896";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.896924])";"30";"turtlesim3.sim";"1727095880.090940861";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.883063])";"30";"turtlesim3.sim";"1727095880.074298709";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.869202])";"30";"turtlesim3.sim";"1727095880.058908466";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.938508])";"30";"turtlesim2.sim";"1727095880.049574164";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.855341])";"30";"turtlesim3.sim";"1727095880.042752040";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.924647])";"30";"turtlesim2.sim";"1727095880.033376942";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.841479])";"30";"turtlesim3.sim";"1727095880.026039734";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.910786])";"30";"turtlesim2.sim";"1727095880.017788995";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.827618])";"30";"turtlesim3.sim";"1727095880.009597203";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.896924])";"30";"turtlesim2.sim";"1727095880.001398785";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.117731, y=2.813757])";"30";"turtlesim3.sim";"1727095879.994261573";"/Users/user/ros2_ws/1/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
